,日期,股票代號,股票名稱,開盤價,最高價,最低價,Close,漲跌,漲幅...,振幅...,成交量,成交筆數,成交金額.千.,均張,成交量變動...,均張變動...,股本.百萬.,總市值.億.,市值比重...,本益比,股價淨值比,本益比.近四季.,週轉率...,成交值比重...,漲跌停,均價,成交量.股.,RTIME
347144,20141001,TWA00,加權指數,8958.87,9014.26,8918.96,8990.26,23.34,0.26,1.06,5127145.0,718686.0,79131756.0,7.1,-17.22,2.9,6717743.0,258330.0,100.0,14.9,1.68,16.2,0.31,,,15.43,5127144646.0,123459.0
348900,20141128,TWA00,加權指數,9163.19,9201.8,9158.28,9187.15,21.84,0.24,0.47,4432054.0,638505.0,71393669.0,6.9,-17.94,-11.54,6698213.0,265311.0,100.0,14.8,1.73,15.3,0.27,,,16.11,4432053616.0,123459.0
350654,20141127,TWA00,加權指數,9153.49,9217.73,9153.49,9165.31,42.92,0.47,0.7,5400689.0,694157.0,83723879.0,7.8,8.19,4.0,6698431.0,264643.0,100.0,14.7,1.72,15.2,0.32,,,15.5,5400688686.0,123459.0
352406,20141126,TWA00,加權指數,9125.08,9146.04,9112.19,9122.39,6.15,0.07,0.37,4991900.0,662404.0,75508499.0,7.5,0.87,5.63,6698431.0,263394.0,100.0,14.7,1.71,15.2,0.29,,,15.13,4991899670.0,123459.0
354157,20141125,TWA00,加權指數,9125.27,9153.55,9098.32,9116.24,-6.09,-0.07,0.61,4948630.0,692344.0,88932595.0,7.1,6.29,5.97,6699774.0,263221.0,100.0,14.6,1.71,15.1,0.34,,,17.97,4948629642.0,123459.0
355907,20141124,TWA00,加權指數,9144.42,9165.71,9104.54,9122.33,30.8,0.34,0.67,4655962.0,693863.0,76610680.0,6.7,-4.71,-4.29,6699770.0,263374.0,100.0,14.7,1.71,15.2,0.29,,,16.45,4655961899.0,123459.0
357657,20141121,TWA00,加權指數,9104.34,9111.18,9071.86,9091.53,12.66,0.14,0.43,4886182.0,702475.0,79675661.0,7.0,-16.68,-6.67,6699706.0,262500.0,100.0,14.6,1.71,15.1,0.3,,,16.31,4886182162.0,123459.0
359406,20141120,TWA00,加權指數,8984.93,9078.87,8984.93,9078.87,115.63,1.29,1.05,5864029.0,780482.0,92422607.0,7.5,6.24,0.0,6700659.0,262115.0,100.0,14.6,1.71,15.1,0.35,,,15.76,5864029173.0,123459.0
361155,20141119,TWA00,加權指數,8896.16,8988.64,8879.29,8963.24,104.17,1.18,1.23,5519350.0,737600.0,93503337.0,7.5,3.62,7.14,6700629.0,258761.0,100.0,14.4,1.68,14.9,0.36,,,16.94,5519350213.0,123459.0
362904,20141118,TWA00,加權指數,8916.08,8944.26,8828.15,8859.07,-25.32,-0.28,1.31,5326764.0,766077.0,79528328.0,7.0,10.04,1.45,6681853.0,254343.0,100.0,14.3,1.66,14.8,0.31,,,14.93,5326764357.0,123459.0
364655,20141117,TWA00,加權指數,9003.37,9024.0,8878.38,8884.39,-98.49,-1.1,1.62,4840818.0,699316.0,74018579.0,6.9,-0.07,-6.76,6683759.0,255050.0,100.0,14.4,1.66,14.9,0.29,,,15.29,4840817666.0,123459.0
366406,20141114,TWA00,加權指數,8992.4,8996.38,8950.23,8982.88,2.21,0.02,0.51,4844187.0,653197.0,74958311.0,7.4,-2.83,-7.5,6683768.0,257904.0,100.0,14.5,1.68,15.1,0.29,,,15.47,4844187009.0,123459.0
368156,20141113,TWA00,加權指數,8947.97,8980.67,8927.09,8980.67,61.72,0.69,0.6,4985468.0,623304.0,70199452.0,8.0,-8.1,6.67,6684175.0,257837.0,100.0,14.5,1.68,16.1,0.27,,,14.08,4985468017.0,123459.0
369908,20141112,TWA00,加權指數,9030.13,9030.13,8894.11,8918.95,-115.19,-1.28,1.51,5424890.0,726107.0,78739406.0,7.5,-1.41,-3.85,6684175.0,256075.0,100.0,14.4,1.67,16.0,0.31,,,14.51,5424889807.0,123459.0
371654,20141111,TWA00,加權指數,9067.54,9069.44,9021.54,9034.14,-15.84,-0.18,0.53,5502242.0,701933.0,77414574.0,7.8,-2.84,2.63,6684234.0,259382.0,100.0,14.6,1.69,16.2,0.3,,,14.07,5502241947.0,123459.0
373400,20141110,TWA00,加權指數,8937.59,9062.89,8937.59,9049.98,137.36,1.54,1.41,5663033.0,748493.0,85922296.0,7.6,14.12,-7.32,6684074.0,259835.0,100.0,14.6,1.69,16.2,0.33,,,15.17,5663032652.0,123459.0
375144,20141107,TWA00,加權指數,8881.19,8925.62,8867.78,8912.62,21.6,0.24,0.65,4962152.0,607589.0,68784946.0,8.2,-4.75,6.49,6684846.0,255926.0,100.0,14.4,1.67,16.0,0.27,,,13.86,4962152289.0,123459.0
376888,20141106,TWA00,加權指數,8968.79,8979.97,8887.36,8891.02,-71.58,-0.8,1.03,5209449.0,674975.0,73146678.0,7.7,4.87,2.67,6683893.0,255282.0,100.0,14.4,1.67,15.9,0.29,,,14.04,5209449351.0,123459.0
378633,20141105,TWA00,加權指數,8997.76,9013.06,8941.18,8962.6,-26.58,-0.3,0.8,4967488.0,666384.0,70914589.0,7.5,-4.34,1.35,6680549.0,257345.0,100.0,14.5,1.68,16.1,0.28,,,14.28,4967487969.0,123459.0
380378,20141104,TWA00,加權指數,9030.96,9046.22,8980.96,8989.18,-15.68,-0.17,0.72,5192642.0,701821.0,75729149.0,7.4,-10.06,7.25,6681559.0,258099.0,100.0,14.5,1.68,16.1,0.29,,,14.58,5192642440.0,123459.0
382123,20141103,TWA00,加權指數,9009.38,9029.71,8965.5,9004.86,30.1,0.34,0.72,5773707.0,841578.0,90568346.0,6.9,3.42,-8.0,6682055.0,258531.0,100.0,14.6,1.69,16.1,0.35,,,15.69,5773707055.0,123459.0
383901,20141217,TWA00,加權指數,8961.64,8972.12,8826.03,8828.36,-122.55,-1.37,1.63,5997169.0,975032.0,109763897.0,6.2,18.64,3.33,6705916.0,255143.0,100.0,14.2,1.66,14.4,0.43,,,18.3,5997169149.0,123459.0
385678,20141216,TWA00,加權指數,8967.82,9031.07,8950.91,8950.91,-34.72,-0.39,0.89,5054854.0,837314.0,87561592.0,6.0,14.88,-6.25,6705916.0,258676.0,100.0,14.4,1.68,14.6,0.34,,,17.32,5054853669.0,123459.0
387455,20141215,TWA00,加權指數,8987.95,8997.08,8943.04,8985.63,-41.7,-0.46,0.6,4400222.0,688922.0,77228331.0,6.4,-7.03,-4.48,6705996.0,259688.0,100.0,14.4,1.69,14.7,0.3,,,17.55,4400221515.0,123459.0
389230,20141212,TWA00,加權指數,9041.54,9084.27,9022.56,9027.33,14.26,0.16,0.68,4733158.0,705454.0,77597577.0,6.7,-11.03,-11.84,6705996.0,260874.0,100.0,14.5,1.7,14.8,0.3,,,16.39,4733158431.0,123459.0
391005,20141211,TWA00,加權指數,9003.84,9046.4,8971.53,9013.07,-19.09,-0.21,0.83,5320110.0,701444.0,81253769.0,7.6,-9.79,11.76,6705996.0,260472.0,100.0,14.5,1.69,14.7,0.31,,,15.27,5320109967.0,123459.0
392770,20141210,TWA00,加權指數,9115.33,9140.49,9015.52,9032.16,-96.74,-1.06,1.37,5897699.0,869493.0,92610489.0,6.8,9.77,-1.45,6699996.0,260923.0,100.0,14.5,1.7,14.8,0.35,,,15.7,5897698926.0,123459.0
394534,20141209,TWA00,加權指數,9163.43,9177.14,9127.12,9128.9,-58.39,-0.64,0.54,5373020.0,776684.0,87965860.0,6.9,-2.21,4.55,6700596.0,263710.0,100.0,14.7,1.72,14.9,0.33,,,16.37,5373019925.0,123459.0
396297,20141208,TWA00,加權指數,9231.24,9241.63,9174.51,9187.29,-19.28,-0.21,0.73,5494254.0,837558.0,92575845.0,6.6,-8.35,-1.49,6699864.0,265399.0,100.0,14.8,1.73,15.0,0.35,,,16.85,5494254256.0,123459.0
398060,20141205,TWA00,加權指數,9220.25,9240.51,9192.29,9206.57,-18.54,-0.2,0.52,5994963.0,894802.0,99701173.0,6.7,-10.11,-5.63,6699824.0,265960.0,100.0,14.8,1.73,15.0,0.37,,,16.63,5994963162.0,123459.0
399817,20141204,TWA00,加權指數,9212.85,9251.85,9195.15,9225.11,49.85,0.54,0.62,6669076.0,934271.0,104549596.0,7.1,-3.08,4.41,6699824.0,266501.0,100.0,14.8,1.73,15.1,0.39,,,15.68,6669075646.0,123459.0
401572,20141203,TWA00,加權指數,9073.47,9188.32,9045.2,9175.26,140.47,1.55,1.58,6881013.0,1012469.0,115882833.0,6.8,19.98,4.62,6699347.0,265024.0,100.0,14.8,1.72,15.0,0.44,,,16.84,6881013098.0,123459.0
403327,20141202,TWA00,加權指數,9098.36,9104.84,9009.69,9034.79,-82.92,-0.91,1.04,5735001.0,878386.0,98022196.0,6.5,7.66,-4.41,6699514.0,260972.0,100.0,14.5,1.7,14.8,0.38,,,17.09,5735000868.0,123459.0
405083,20141201,TWA00,加權指數,9038.41,9164.54,8998.55,9117.71,-69.44,-0.76,1.81,5326845.0,778169.0,90109351.0,6.8,20.19,-1.45,6699514.0,263371.0,100.0,14.7,1.71,14.9,0.34,,,16.92,5326844948.0,123459.0
